"制造商","车型"
"212","212 T01"
"AITO","问界M5"
"AITO","问界M7"
"AITO","问界M8"
"AITO","问界M9"
"ARCFOX极狐","极狐 考拉"
"ARCFOX极狐","极狐 阿尔法S"
"ARCFOX极狐","极狐 阿尔法S5"
"ARCFOX极狐","极狐 阿尔法T"
"ARCFOX极狐","极狐 阿尔法T5"
"ARCFOX极狐","极狐T1"
"Polestar极星","Polestar 4"
"ROX极石","极石01"
"SWM斯威汽车","斯威G05"
"SWM斯威汽车","斯威大虎"
"firefly萤火虫","firefly萤火虫"
"iCAR","iCAR超级V23"
"smart","smart精灵#1"
"smart","smart精灵#3"
"smart","smart精灵#5"
"smart","smart精灵#5 EHD超级电混"
"东风奕派","eπ007"
"东风奕派","eπ008"
"东风奕派","纳米01"
"东风奕派","纳米06"
"东风富康","e爱丽舍"
"东风风光","风光330"
"东风风光","风光380"
"东风风光","风光MINIEV"
"东风风光","风光S560"
"东风风度","帕拉丁"
"东风风神","东风风神L8 PHEV"
"东风风神","奕炫"
"东风风神","皓极"
"东风风神","皓瀚"
"东风风神","风神L7 PHEV"
"东风风行","星海S7"
"东风风行","星海T5"
"东风风行","星海V9"
"东风风行","菱智"
"东风风行","菱智新能源"
"东风风行","风行S50 EV"
"东风风行","风行T5"
"东风风行","风行T5 EVO"
"东风风行","风行游艇"
"中国重汽VGV","VGV U70"
"丰田","RAV4荣放"
"丰田","丰田bZ3"
"丰田","丰田bZ5"
"丰田","亚洲狮"
"丰田","亚洲龙"
"丰田","凌尚"
"丰田","凌放HARRIER"
"丰田","凯美瑞"
"丰田","卡罗拉"
"丰田","卡罗拉锐放"
"丰田","奕泽IZOA"
"丰田","威兰达"
"丰田","威飒"
"丰田","普拉多"
"丰田","格瑞维亚"
"丰田","汉兰达"
"丰田","皇冠陆放"
"丰田","赛那"
"丰田","铂智3X"
"丰田","铂智4X"
"丰田","锋兰达"
"丰田","雷凌"
"乐道","乐道L60"
"乐道","乐道L90"
"五菱汽车","五菱之光"
"五菱汽车","五菱之光EV"
"五菱汽车","五菱佳辰"
"五菱汽车","五菱宏光"
"五菱汽车","五菱宏光MINIEV"
"五菱汽车","五菱宏光V"
"五菱汽车","五菱宏光增程版"
"五菱汽车","五菱宏光纯电版"
"五菱汽车","五菱征程"
"五菱汽车","五菱星光EV"
"五菱汽车","五菱星光PHEV"
"五菱汽车","五菱星光S EV"
"五菱汽车","五菱星光S PHEV"
